epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,789.71,1.49446,1.13893,1.38869,0.66187,0.59793,0.60423,0.38815,3.06883,2.91606,2.78268,0.000382115,0.000382115,0.000382115
113,796.581,1.47211,1.13724,1.39237,0.62351,0.6028,0.59681,0.39385,3.02112,2.91197,2.77716,0.000372683,0.000372683,0.000372683
114,803.443,1.47402,1.13674,1.38672,0.6491,0.59495,0.59832,0.38106,3.01334,2.95477,2.76561,0.000363252,0.000363252,0.000363252
115,810.638,1.49877,1.1112,1.40905,0.65363,0.59516,0.59916,0.38601,3.06157,2.83685,2.83247,0.00035382,0.00035382,0.00035382
116,817.73,1.44124,1.09729,1.37917,0.66791,0.5882,0.59344,0.39416,3.10046,2.83104,2.91378,0.000344389,0.000344389,0.000344389
117,824.505,1.39745,1.01682,1.31294,0.63485,0.60523,0.58169,0.39816,3.11038,2.88737,2.83279,0.000334958,0.000334958,0.000334958
118,831.598,1.43661,1.07604,1.34615,0.74957,0.59194,0.58746,0.40488,3.0468,2.88488,2.81533,0.000325526,0.000325526,0.000325526
119,838.452,1.41618,1.05337,1.32871,0.65659,0.5882,0.58354,0.41106,3.07345,2.85202,2.85242,0.000316095,0.000316095,0.000316095
120,845.615,1.3702,1.0481,1.32137,0.61327,0.5955,0.57965,0.40188,3.11783,2.94803,2.85119,0.000306663,0.000306663,0.000306663
121,852.701,1.38782,1.01542,1.32619,0.60492,0.5955,0.57995,0.38804,3.11499,2.91351,2.92731,0.000297232,0.000297232,0.000297232
122,859.736,1.44372,1.0399,1.35902,0.6636,0.59307,0.58789,0.39043,3.08982,2.78578,2.95196,0.000287801,0.000287801,0.000287801
123,866.936,1.38781,1.01641,1.31338,0.68243,0.5955,0.59265,0.38699,3.13328,2.90845,2.88923,0.000278369,0.000278369,0.000278369
124,873.736,1.3851,1.02246,1.31901,0.66501,0.60523,0.60115,0.39143,3.13385,2.93596,2.90519,0.000268938,0.000268938,0.000268938
125,881.495,1.43013,1.02423,1.34649,0.69952,0.59793,0.60105,0.3914,3.07147,2.89584,2.82048,0.000259506,0.000259506,0.000259506
126,887.987,1.3821,1.01304,1.31886,0.64245,0.59307,0.59409,0.39012,3.10013,2.85627,2.89308,0.000250075,0.000250075,0.000250075
127,895.062,1.37529,0.98877,1.299,0.66673,0.59952,0.58814,0.39236,3.05233,2.82644,2.85981,0.000240644,0.000240644,0.000240644
128,901.855,1.38873,1.02017,1.32682,0.64633,0.59982,0.58422,0.38648,3.11462,2.99392,2.89753,0.000231212,0.000231212,0.000231212
129,909.085,1.35328,1.00169,1.29247,0.62644,0.59793,0.58245,0.39317,3.07018,3.0012,2.85487,0.000221781,0.000221781,0.000221781
130,915.525,1.34813,0.98416,1.2824,0.72182,0.59063,0.5962,0.41143,3.01823,2.9708,2.791,0.000212349,0.000212349,0.000212349
131,922.707,1.29876,0.95377,1.26963,0.63693,0.60036,0.60477,0.40242,3.03436,3.05364,2.78592,0.000202918,0.000202918,0.000202918
132,929.569,1.30136,0.96468,1.26462,0.63696,0.60036,0.59888,0.40651,3.01038,3.00141,2.79478,0.000193487,0.000193487,0.000193487
133,936.944,1.29649,0.9481,1.25634,0.68226,0.5955,0.5863,0.39964,3.08703,2.99563,2.91052,0.000184055,0.000184055,0.000184055
134,943.984,1.28717,0.93231,1.25736,0.65115,0.60036,0.58834,0.39479,3.15721,2.99181,2.98064,0.000174624,0.000174624,0.000174624
135,951.101,1.27919,0.9189,1.24293,0.7521,0.59793,0.59041,0.38639,3.11767,2.98983,2.9379,0.000165192,0.000165192,0.000165192
136,958.221,1.29087,0.95067,1.27689,0.67093,0.59793,0.58801,0.38025,3.06692,2.99122,2.87549,0.000155761,0.000155761,0.000155761
137,965.141,1.28171,0.91381,1.25317,0.71754,0.59793,0.60289,0.38771,3.04794,2.99852,2.82518,0.00014633,0.00014633,0.00014633
138,972.177,1.22063,0.88737,1.23218,0.69046,0.5955,0.5882,0.36547,3.12019,3.00401,2.95306,0.000136898,0.000136898,0.000136898
